person count,title,last name,first name,middle name,nick name,post title
,,Kernot,Cheryl,,,
,,Kerr,Duncan,James Colquhoun,,
,,Kilgariff,Bernard,Francis,,
,,Killen,Denis,James (later Sir James),,
,,King,Catherine,Fiona,,
,,King,Peter,Edward,,
,,Kirk,Linda,Jean,,
,,Klugman,Richard,Emanuel,,
,,Knight,John,William,,
,,Knott,Peter,John,,
,,Knowles,Susan,Christine,,
,,Lajovic,Milivoj,Emil,,
,,Lamb,Antony,Hamilton,,
,,Laming,Andrew,Charles,,
,,Langmore,John,Vance,,
,,Latham,Mark,William,,
,,Laucke,Condor,Louis,,
,,Lavarch,Michael,Hugh,,
,,Lawler,Anthony,John,,
,,Lawrence,Carmen,Mary,,
,,Lee,Michael,John,,
,,Lees,Meg,Heather,,
,,Lewis,Austin,William Russell,,
,,Ley,Sussan,Penelope,,
,,Lieberman,Louis,Stuart,,
,,Lightfoot,Philip,Ross,,
,,Lindsay,Eamon,John,,
,,Lindsay,Peter,John,,
,,Livermore,Kirsten,Fiona,,
,,Lloyd,Bruce,,,
,,Lloyd,James,Eric,,
,,Loosley,Stephen,,,
,,Lucock,Philip,Ernest,,
,,Ludwig,Joseph,William,,
,,Lundy,Kate,Alexandra,,
,,Lusher,Stephen,Augustus,,
,,Lynch,Phillip,Reginald (later Sir Phillip),,
,,Macdonald,Ian,Douglas,,
,,Macdonald,John,Alexander Lindsay,,
,,Macfarlane,Ian,Elgin,,
,,MacGibbon,David,John,,
,,Mack,Edward,Carrington,,
,,Mackay,Susan,Mary,,
,,Mackellar,Michael,John Randal,,
,,Mackenzie,Alexander,John,,
,,Macklin,Jennifer,Louise,,
,,Macklin,Michael,John,,
,,Macphee,Ian,Malcolm,,
,,Maguire,Graham,Ross,,
,,Maher,Michael,John,,
,,Marek,Paul,,,
,,Margetts,Diane,Elizabeth,,
,,Marino,Nola,Bethwyn,,
,,Markus,Louise,Elizabeth,,
,,Marles,Richard,Donald,,
,,Marshall,Gavin,Mark,,
,,Martin,Stephen,Paul,,
,,Martin,Vincent,Joseph,,
,,Martyr,John,Raymond,,
,,Mason,Brett,John,,
,,Mason,Colin,Victor James,,
,,Maunsell,Charles,Ronald,,
,,May,Margaret,Ann,,
,,Mayer,Helen,,,
,,McArthur,Fergus,Stewart,,
,,McAuliffe,Ronald,Edward,,
,,McClelland,Douglas,,,
,,McClelland,Robert,Bruce,,
,,McDougall,Graeme,Robert,,
,,McEwen,Anne,,,
,,McFarlane,Jann,Sonya,,
,,McGauran,Julian,John James,,
,,McGauran,Peter,John,,
,,McHugh,Jeannette,,,
,,McIntosh,Gordon,Douglas,,
,,McKew,Maxine,Margaret,,
,,McKiernan,James,Philip,,
,,McLachlan,Ian,Murray,,
,,McLaren,Geoffrey,Thomas,,
,,McLean,Paul,Alexander,,
,,McLean,Ross,Malcolm,,
,,McLeay,John,Elden,,
,,McLeay,Leo,Boyce,,
,,McLucas,Jan,Elizabeth,,
,,McMahon,James,Leslie,,
,,McMahon,William,(later Sir William),,
,,McMullan,Robert,Francis,,
,,McVeigh,Daniel,Thomas,,
,,Melham,Daryl,,,
,,Melzer,Jean,Isobelle,,
,,Messner,Anthony,John,,
,,Mildren,John,Barry,,
,,Miles,Christopher,Gordon,,
,,Millar,Percival,Clarence,,
,,Milne,Christine,Anne,,
,,Milton,Peter,,,
,,Minchin,Nicholas,Hugh,,
,,Mirabella,Sophie,,,
,,Missen,Alan,Joseph,,
,,Moore,Claire,Mary,,
,,Moore,John,Colinton,,
,,Morris,Allan,Agapitos,,
,,Morris,John,Joseph,,
,,Morris,Peter,Frederick,,
,,Morrison,Scott,John,,
,,Mossfield,Frank,William,,
,,Mountford,John,Graham,,
,,Moylan,Judith,Eleanor,,
,,Mulvihill,James,Anthony,,
,,Murphy,John,Paul,,
,,Murphy,Shayne,Michael,,
,,Murray,Andrew,James Marshall,,
,,Mutch,Stephen,Bruce,,
,,Nairn,Gary,Roy,,
,,Nash,Fiona,Joy,,
,,Neal,Belinda,Jane,,
,,Neal,Laurence,William,,
,,Nehl,Garry,Barr,,
,,Neil,Maurice,James,,
,,Nelson,Brendan,John,,
,,Nettle,Kerry,Michelle,,
,,Neumann,Shayne,Kenneth,,
,,Neville,Paul,Christopher,,
,,Newell,Neville,Joseph,,
,,Newman,Jocelyn,Margaret,,
,,Newman,Kevin,Eugene,,
,,Nixon,Peter,James,,
,,Nugent,Peter,Edward,,
,,O'Brien,Kerry,Williams Kelso,,
,,O'Byrne,Justin,Hilary,,
,,O'Byrne,Michelle,Anne,,
,,O'Chee,William,George,,
,,O'Connor,Brendan,Patrick,,
,,O'Connor,Gavan,Michael,,
,,O'Keefe,Frank,Lionel,,
,,O'Keefe,Neil,Patrick,,
,,O'Neil,Lloyd,Reginald Terrence,,
,,Olsen,John,Wayne,,
,,Organ,Michael,Keith,,
,,Owens,Julie,Ann,,
,,Panizza,John,Horace,,
,,Parer,Warwick,Raymond,,
,,Parke,Melissa,,,
,,Parry,Stephen,Shane,,
,,Patterson,Kay,Christine Lesley,,
,,Payne,Marise,Ann,,
,,Peacock,Andrew,Sharp,,
,,Pearce,Christopher,John,,
,,Perrett,Graham,Douglas,,
,,Plibersek,Tanya,Joan,,
,,Pollard,Reginald,Thomas,,
,,Polley,Helen,Beatrice ,,
,,Porter,James,Robert,,
,,Powell,Janet,Frances,,
,,Pratt,Michael,Philip,,
,,Price,Leo,Roger Spurway,,
,,Primmer,Cyril,Graham,,
,,Prosser,Geoffrey,Daniel,,
,,Punch,Gary,Francis,,
,,Puplick,Christopher,John Guelph,,
,,Pyne,Christopher,Maurice,,
,,Quick,Harry,Vernon,,
,,Quirke,John,Andrew,,
,,Rae,Peter,Elliot,,
,,Raguse,Brett,Blair,,
,,Ramsey,Rowan,Eric,,
,,Randall,Donald,James,,
,,Ray,Robert,Francis,,
,,Rea,Kerry,Marie,,
,,Reeves,John,Edward,,
,,Reid,Margaret,Elizabeth,,
,,Reid,Nicholas,Bruce,,
,,Reith,Peter,Keaston,,
,,Reynolds,Margaret,,,
,,Richardson,Graham,Frederick,,
,,Richardson,Kym,Charles,,
,,Ridgeway,Aden,Derek,,
,,Riggall,John,Peter,,
,,Ripoll,Bernard,Fernando,,
,,Rishworth,Amanda,Louise,,
,,Robb,Andrew,John,,
,,Robert,Stuart,Rowland,,
,,Robertson,Edward,Albert,,
,,Robinson,Eric,Laidlaw,,
,,Robinson,Ian,Louis,,
,,Rocher,Allan,Charles,,
,,Ronaldson,Michael,John Clyde,,
,,Roxon,Nicola,Louise,,
,,Rudd,Kevin,Michael,,
,,Ruddock,Philip,Maxwell,,
,,Ryan,Susan,Maree,,
,,Saffin,Janelle,Anne,,
,,Sainsbury,Murray,Evan,,
,,Sanders,Norman,Karl,,
,,Santoro,Santo,,,
,,Saunderson,John,,,
,,Sawford,Rodney,Weston,,
,,Schacht,Christopher,Cleland,,
,,Scholes,Gordon,Glen Denton,,
,,Schultz,Albert,John,,
,,Sciacca,Concetto,Antonio,,
,,Scott,Bruce,Craig,,
,,Scott,Douglas,Barr,,
,,Scott,John,Lyden,,
,,Scott,Leslie,James,,
,,Scullion,Nigel,Gregory,,
,,Secker,Patrick,Damien,,
,,Sercombe,Robert,Charles Grant,,
,,Shack,Peter,Donald,,
,,Sharp,John,Randall,,
,,Shaw,George,William,,
,,Sheil,Glenister,,,
,,Sherry,Nicholas,John,,
,,Shipton,Roger,Francis,,
,,Short,James,Robert,,
,,Short,Leonie,Marjorie,,
,,Shorten,William,Richard,,
,,Sibraa,Kerry,Walter,,
,,Siddons,John,Royston,,
,,Sidebottom,Peter,Sid,,
,,Siewert,Rachel,Mary,,
,,Sim,John,Peter,,
,,Simmons,David,William,,
,,Simon,Barry,Douglas,,
,,Simpkins,Luke,Xavier Linton,,
,,Sinclair,Ian,Mccahon,,
,,Slipper,Peter,Neil,,
,,Smith,Anthony,Charles,,
,,Smith,Anthony,David Hawthorn,,
,,Smith,Silvia,Joy,,
,,Smith,Stephen,Francis,,
,,Smith,Warwick,Leslie,,
,,Smyth,Brendan,Michael,,
,,Snedden,Billy,Mackie (later Sir Billy),,
,,Snow,James,Henry,,
,,Snowdon,Warren,Edward,,
,,Somlyay,Alexander,Michael,,
,,Southcott,Andrew,John,,
,,Sowada,Karin,Nicole,,
,,Spender,John,Michael,,
,,Spindler,Sid,,,
,,St,Clair,Stuart Roy,,
,,Staley,Anthony,Allan,,
,,Staples,Peter,Richard,,
,,Steedman,Alan,Peter,,
,,Stephens,Ursula,Mary,,
,,Sterle,Glenn,,,
,,Stone,John,Owen,,
,,Stone,Sharman,Nancy,,
,,Stott Despoja,Natasha,Jessica,,
,,Street,Anthony,Austin,,
,,Sullivan,Jonathan,Harold,,
,,Sullivan,Kathryn,Jean Martin,,
,,Swan,Wayne,Maxwell,,
,,Symon,Michael,Stuart,,
,,Synon,Karen,Margaret,,
,,Tambling,Grant,Ernest John,,
,,Tanner,Lindsay,James,,
,,Tate,Michael,Carter,,
,,Taylor,William,Leonard,,
,,Tchen,Tsebin,,,
,,Teague,Baden,Chapman,,
,,Theophanous,Andrew,Charles,,
,,Thomas,Andrew,Murray,,
,,Thompson,Cameron,Paul,,
,,Thomson,Andrew,Peter,,
,,Thomson,Craig,Robert,,
,,Thomson,David,Scott,,
,,Thomson,Kelvin,John,,
,,Ticehurst,Kenneth,Vincent,,
,,Tickner,Robert,Edward,,
,,Tierney,John,William,,
,,Tollner,David,William,,
,,Townley,Michael,,,
,,Trevor,Chris,Allan,,
,,Troeth,Judith,Mary,,
,,Trood,Russell,Brunell,,
,,Truss,Warren,Errol,,
,,Tuckey,Charles,Wilson,,
,,Turnbull,Malcolm,Bligh,,
,,Turnour,James,Pearce,,
,,Uren,Thomas,,,
,,Vaile,Mark,Anthony James,,
,,Vale,Danna,Sue,,
,,Vallentine,Josephine,,,
,,Vamvakinou,Maria,,,
,,Vanstone,Amanda,Eloise,,
,,Vasta,Ross,Xavier,,
,,Vigor,David,Bernard,,
,,Viner,Robert,Ian,,
,,Wakelin,Barry,Hugh,,
,,Walker,Francis,John,,
,,Wallis,Laurie,George,,
,,Walsh,Peter,Alexander,,
,,Walters,Mary,Shirley,,
,,Washer,Malcolm,James,,
,,Watson,David,John Hopetoun,,
,,Watson,John,Odin Wentworth,,
,,Webber,Ruth,Stephanie,,
,,Webster,Alasdair,Paine,,
,,Webster,James,Joseph,,
,,Wells,Deane,Mcmillan,,
,,West,Andrea,Gail,,
,,West,Stewart,John,,
,,West,Suzanne,Margaret,,
,,Wheeldon,John,Murray,,
,,Wheelwright,Thomas,Clive,,
,,White,Peter,Nicholson Duckett,,
,,Wilkie,Kim,,,
,,Williams,Daryl,Robert,,
,,Willis,Ralph,,,
,,Wilton,Gregory,Stuart,,
,,Windsor,Antony,Harold Curties,,
,,Withers,Reginald,Greive,,
,,Wong,Penelope,Ying Yen,,
,,Wood,Jason,Peter,,
,,Wood,William,Robert,,
,,Woodley,John,,,
,,Woods,Harry,Francis,,
,,Woods,Robert,Leslie,,
,,Wooldridge,Michael,Richard Lewis,,
,,Worth,Patricia,Mary,,
,,Wortley,Dana,Johanna,,
,,Wriedt,Kenneth,Shaw,,
,,Wright,Keith,Webb,,
,,Yates,William,,,
,,Young,Harold,William,,
,,Young,Michael,Jerome,,
,,Zahra,Christian,John,,
,,Zakharov,Alice,Olive,,
,,Zammit,Paul,John,,
,,Zappia,Antonio,,,
