member count,person count,name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
179,,Martin John Ferguson,Batman,Vic.,2.3.1996,,5.8.2013,retired,ALP
180,,Michael Darrel Ferguson,Bass,Tas.,9.10.2004,,24.11.2007,defeated,LIB
181,,Wallace Clyde Fife,Farrer,NSW,13.12.1975,,1.12.1984,elected_elsewhere,LIB
182,,Wallace Clyde Fife,Hume,NSW,1.12.1984,,8.2.1993,retired,LIB
183,,Paul Anthony Filing,Moore,WA,24.3.1990,,3.10.1998,defeated,IND
184,,Timothy Andrew Fischer,Farrer,NSW,1.12.1984,,8.10.2001,retired,NPA
185,,Peter Stanley Fisher,Mallee,Vic.,2.12.1972,,8.2.1993,retired,NPA
186,,Eric John Fitzgibbon,Hunter,NSW,1.12.1984,,29.1.1996,retired,ALP
187,,Joel Andrew Fitzgibbon,Hunter,NSW,2.3.1996,,21.5.2022,retired,ALP
188,,John Fitzpatrick,Darling,NSW,25.10.1969,,10.12.1977,elected_elsewhere,ALP
189,,John Fitzpatrick,Riverina,NSW,10.12.1977,,19.9.1980,retired,ALP
190,,Frank Allen Ford,Dunkley,Vic.,24.3.1990,,13.3.1993,defeated,LIB
191,,John Alexander Forrest,Mallee,Vic.,13.3.1993,,5.8.2013,retired,NP
192,,Ross Vincent Free,Lindsay,NSW,1.12.1984,,2.3.1996,defeated,ALP
193,,Ross Vincent Free,Macquarie,NSW,18.10.1980,,1.12.1984,elected_elsewhere,ALP
194,,Kenneth Lionel Fry,Fraser,ACT,18.5.1974,,26.10.1984,retired,ALP
195,,Christine Ann Gallus,Hawker,SA,24.3.1990,,13.3.1993,elected_elsewhere,LIB
196,,Christine Ann Gallus,Hindmarsh,SA,13.3.1993,,31.8.2004,retired,LIB
197,,Teresa Gambaro,Petrie,Qld,2.3.1996,,24.11.2007,defeated,LIB
198,,Ransley Victor Garland,Curtin,WA,19.4.1969,by_election,22.1.1981,resigned,LIB
199,,Peter Robert Garrett,Kingsford Smith,NSW,9.10.2004,,5.8.2013,retired,ALP
200,,Joanna Gash,Gilmore,NSW,2.3.1996,,5.8.2013,retired,LIB
201,,John Gayler,Leichhardt,Qld,5.3.1983,,8.2.1993,retired,ALP
202,,George Gear,Canning,WA,1.12.1984,,2.3.1996,defeated,ALP
203,,George Gear,Tangney,WA,5.3.1983,,1.12.1984,elected_elsewhere,ALP
204,,Steven Georganas,Hindmarsh,SA,9.10.2004,,7.9.2013,defeated,ALP
205,,Jennie George,Throsby,NSW,10.11.2001,,21.8.2010,retired,ALP
206,,Petro Georgiou,Kooyong,Vic.,19.11.1994,by_election,21.8.2010,retired,LIB
207,,Jane Frances Gerick,Canning,WA,3.10.1998,,10.11.2001,defeated,ALP
208,,Stephen William Gibbons,Bendigo,Vic.,3.10.1998,,5.8.2013,retired,ALP
209,,Garrie David Gibson,Moreton,Qld,24.3.1990,,2.3.1996,defeated,ALP
210,,Geoffrey O'Halloran Giles,Angas,SA,20.6.1964,by_election,10.12.1977,elected_elsewhere,LIB
211,,Geoffrey O'Halloran Giles,Wakefield,SA,10.12.1977,,4.2.1983,retired,LIB
212,,Julia Eileen Gillard,Lalor,Vic.,3.10.1998,,5.8.2013,retired,ALP
213,,Reginald Gillard,Macquarie,NSW,13.12.1975,,18.10.1980,defeated,LIB
214,,Bruce John Goodluck,Franklin,Tas.,13.12.1975,,8.2.1993,retired,LIB
215,,Russell Neville Joseph Gorman,Chifley,NSW,5.3.1983,,1.12.1984,elected_elsewhere,ALP
216,,Russell Neville Joseph Gorman,Greenway,NSW,1.12.1984,,29.1.1996,retired,ALP
217,,Edward Laurence Grace,Fowler,NSW,1.12.1984,,31.8.1998,retired,ALP
218,,Elizabeth Jane Grace,Lilley,Qld,2.3.1996,,3.10.1998,defeated,LIB
219,,Bruce William Graham,North Sydney,NSW,26.11.1966,,19.9.1980,retired,LIB
220,,Bruce William Graham,St George,NSW,10.12.1949,,29.5.1954,defeated,LIB
221,,Bruce William Graham,St George,NSW,10.12.1955,,22.11.1958,defeated,LIB
222,,Gary Gray,Brand,WA,24.11.2007,,9.5.2016,retired,ALP
223,,Sharon Joy Grierson,Newcastle,NSW,10.11.2001,,5.8.2013,retired,ALP
224,,Alan Peter Griffin,Bruce,Vic.,2.3.1996,,9.5.2016,retired,ALP
225,,Alan Peter Griffin,Corinella,Vic.,13.3.1993,,2.3.1996,elected_elsewhere,ALP
226,,Alan Gordon Griffiths,Maribyrnong,Vic.,5.3.1983,,29.1.1996,retired,ALP
