member count,person count,title,last name,first name,middle name,nick name,post title,house,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
81,,,Cameron,Donald,Milner,,,representatives,Moreton,Qld,5.11.1983,by_election,24.3.1990,defeated,LIB
82,,,Cameron,Eoin,Harrap,,,representatives,Stirling,WA,13.3.1993,,3.10.1998,defeated,LIB
83,,,Cameron,Ewen,Colin,,,representatives,Indi,Vic.,10.12.1977,,8.2.1993,retired,LIB
84,,,Cameron,Ian,Milne Dixon,,,representatives,Maranoa,Qld,18.10.1980,,19.2.1990,retired,NPA
85,,,Cameron,Ross,Alexander,,,representatives,Parramatta,NSW,2.3.1996,,9.10.2004,defeated,LIB
34,,,Campbell,George,,,,senate,,NSW,17.9.1997,section_15,,still_in_office,ALP
86,,,Campbell,Graeme,,,,representatives,Kalgoorlie,WA,18.10.1980,,3.10.1998,defeated,IND
35,,,Campbell,Ian,Gordon,,,senate,,WA,16.5.1990,section_15,31.5.2007,resigned,LIB
87,,,Campbell,Jodie,Louise,,,representatives,Bass,Tas,24.11.2007,,,still_in_office,ALP
88,,,Carlton,James,Joseph,,,representatives,Mackellar,NSW,10.12.1977,,14.1.1994,resigned,LIB
36,,,Carr,Kim,John,,,senate,,Vic.,28.4.1993,section_15,,still_in_office,ALP
37,,,Carrick,John,Leslie,,,senate,,NSW,1.7.1971,,5.6.1987,retired,LIB
89,,,Cass,Moses,Henry,,,representatives,Maribyrnong,Vic.,25.10.1969,,4.2.1983,retired,ALP
90,,,Catley,Robert,,,,representatives,Adelaide,SA,24.3.1990,,13.3.1993,defeated,ALP
91,,,Catts,James,Howard,,,representatives,Cook,NSW,12.12.1906,,16.12.1922,defeated,ALP
92,,,Causley,Ian,Raymond,,,representatives,Page,NSW,2.3.1996,,11.2.2002,changed_party,NP
93,,,Causley,Ian,Raymond,,,representatives,Page,NSW,11.2.2002,changed_party,17.10.2007,retired,CWM
38,,,Cavanagh,James,Luke,,,senate,,SA,1.7.1962,,30.6.1981,retired,ALP
39,,,Chamarette,Christabel,Marguerite Alain,,,senate,,WA,12.3.1992,section_15,30.6.1996,defeated,GWA
94,,,Champion,Nicholas,David,,,representatives,Wakefield,SA,24.11.2007,,,still_in_office,ALP
95,,,Chaney,Frederick,Michael,,,representatives,Pearce,WA,24.3.1990,,8.2.1993,retired,LIB
40,,,Chaney,Frederick,Michael,,,senate,,WA,18.5.1974,,27.2.1990,resigned,LIB
96,,,Chapman,Hedley,Grant Pearson,,,representatives,Kingston,SA,13.12.1975,,5.3.1983,defeated,LIB
41,,,Chapman,Hedley,Grant Pearson,,,senate,,SA,11.7.1987,,,still_in_office,LIB
97,,,Charles,David,Ernest,,,representatives,Isaacs,Vic.,18.10.1980,,19.2.1990,retired,ALP
98,,,Charles,Robert,Edwin,,,representatives,La Trobe,Vic.,24.3.1990,,31.8.2004,retired,LIB
99,,,Child,Joan,,,,representatives,Henty,Vic.,18.10.1980,,19.2.1990,retired,ALP
100,,,Charlesworth,Richard,Ian,,,representatives,Perth,WA,5.3.1983,,8.2.1993,retired,ALP
101,,,Cheeseman,Darren,Leicester,,,representatives,Corangamite,Vic,24.11.2007,,,still_in_office,ALP
