Name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
"Humphreys, Benjamin Charles",Griffith,Qld,10.12.1977,,29.1.1996,retired,ALP
"Hunt, Gregory Andrew",Flinders,Vic.,10.11.2001,, ,current_member,LIB
"Hunt, Ralph James Dunnet",Gwydir,NSW,7.6.1969,by_election,24.2.1989,resigned,NPA
"Hurford, Christopher John",Adelaide,SA,25.10.1969,,31.12.1987,resigned,ALP
"Hyde, John Martin",Moore,WA,18.5.1974,,5.3.1983,defeated,LIB
"Innes, Urquhart Edward",Melbourne,Vic.,2.12.1972,,4.2.1983,retired,ALP
"Irwin, Julia Claire",Fowler,NSW,3.10.1998,, ,current_member,ALP
"Jackson, Sharryn Maree",Hasluck,WA,10.11.2001,,9.10.2004,defeated,ALP
"Jacobi, Ralph",Hawker,SA,25.10.1969,,5.6.1987,retired,ALP
"Jakobsen, Carolyn Anne",Cowan,WA,1.12.1984,,13.3.1993,defeated,ALP
"James, Albert William",Hunter,NSW,9.4.1960,by_election,19.9.1980,retired,ALP
"Jarman, Alan William",Deakin,Vic.,26.11.1966,,5.3.1983,defeated,LIB
"Jeanes, Susan Barbara",Kingston,SA,2.3.1996,,3.10.1998,defeated,LIB
"Jenkins, (Dr) Henry Alfred",Scullin,Vic.,25.10.1969,,20.12.1985,resigned,ALP
"Jenkins, Henry Alfred",Scullin,Vic.,8.2.1986,by_election, ,current_member,ALP
"Jensen, Dennis Geoffrey",Tangney,WA,9.10.2004,, ,current_member,LIB
"Johns, Gary Thomas",Petrie,Qld,11.7.1987,,2.3.1996,defeated,ALP
"Johnson, Leonard Keith",Burke,Vic.,25.10.1969,,19.9.1980,retired,ALP
"Johnson, Leslie Royston",Hughes,NSW,10.12.1955,,26.11.1966,defeated,ALP
,Hughes,NSW,25.10.1969,,19.12.1983,resigned,ALP
"Johnson, Michael Andrew",Ryan,Qld,10.11.2001,, ,current_member,LIB
"Johnson, Peter Francis",Brisbane,Qld,13.12.1975,,18.10.1980,defeated,LIB
"Johnston, James Roger",Hotham,Vic.,10.12.1977,,18.10.1980,defeated,LIB
"Johnston, Ricky",Canning,WA,2.3.1996,,3.10.1998,defeated,LIB
"Jones, Barry Owen",Lalor,Vic.,10.12.1977,,31.8.1998,retired,ALP
"Jones, Charles Keith",Newcastle,NSW,22.11.1958,,4.2.1983,retired,ALP
"Jull, David Francis",Bowman,Qld,13.12.1975,,5.3.1983,defeated,LIB
,Fadden,Qld,1.12.1984,,17.10.2007,retired,LIB
"Katter, Robert Carl",Kennedy,Qld,13.3.1993,, ,current_member,IND
"Katter, Robert Cummin",Kennedy,Qld,26.11.1966,,19.2.1990,retired,NPA
"Keating, Paul John",Blaxland,NSW,25.10.1969,,23.4.1996,resigned,ALP
"Keenan, Michael Fayat",Stirling,WA,9.10.2004,, ,current_member,LIB
"Kelly, De-Anne Margaret",Dawson,Qld,2.3.1996,, ,current_member,NP
"Kelly, Jacqueline Marie",Lindsay,NSW,2.3.1996,,11.9.1996 (declared void),declared_void,LIB
,Lindsay,NSW,19.10.1996,by_election,17.10.2007,retired,LIB
"Kelly, Roslyn Joan",Canberra,ACT,18.10.1980,,30.1.1995,resigned,ALP
"Kemp, David Alistair",Goldstein,Vic.,24.3.1990,,31.8.2004,retired,LIB
"Kent, Lewis",Hotham,Vic.,18.10.1980,,24.3.1990,defeated,ALP
,Bowman,Qld,5.3.1983,,5.6.1987,retired,ALP
,Werriwa,NSW,23.9.1978,by_election,22.12.1993,resigned,ALP
"Kernot, Cheryl",Dickson,Qld,3.10.1998,,10.11.2001,defeated,ALP
"Kerr, Duncan James Colquhoun",Denison,Tas.,11.7.1987,, ,current_member,ALP
"Killen, Denis James (later Sir James)",Moreton,Qld,10.12.1955,,15.8.1983,resigned,LIB
"King, Catherine Fiona",Ballarat,Vic.,10.11.2001,, ,current_member,ALP
"King, Peter Edward",Wentworth,NSW,10.11.2001,,9.10.2004,defeated,IND
"Klugman, Richard Emanuel",Prospect,NSW,25.10.1969,,19.2.1990,retired,ALP
"Knott, Peter John",Gilmore,NSW,13.3.1993,,2.3.1996,defeated,ALP
"Lamb, Antony Hamilton",La Trobe,Vic.,2.12.1972,,13.12.1975,defeated,ALP
,Streeton,Vic.,1.12.1984,,24.3.1990,defeated,ALP
"Laming, Andrew Charles",Bowman,Qld,9.10.2004,, ,current_member,LIB
"Langmore, John Vance",Fraser,ACT,1.12.1984,,6.12.1996,resigned,ALP
"Latham, Mark William",Werriwa,NSW,29.1.1994,by_election,21.1.2005,resigned,ALP
"Lavarch, Michael Hugh",Fisher,Qld,11.7.1987,,Until elected for Dickson,elected_elsewhere,ALP
,Dickson,Qld,17.4.1993 ,,2.3.1996,defeated,ALP
"Lawler, Anthony John",Parkes,NSW,3.10.1998,,8.10.2001,retired,NPA
"Lawrence, Carmen Mary",Fremantle,WA,12.3.1994,by_election,17.10.2007,retired,ALP
"Lee, Michael John",Dobell,NSW,1.12.1984,,10.11.2001,defeated,ALP
"Ley, Sussan Penelope",Farrer,NSW,10.11.2001,, ,current_member,LIB
"Lieberman, Louis Stuart",Indi,Vic.,13.3.1993,,8.10.2001,retired,LIB
"Lindsay, Eamon John",Herbert,Qld,5.3.1983,,2.3.1996,defeated,ALP
"Lindsay, Peter John",Herbert,Qld,2.3.1996,, ,current_member,LIB
"Livermore, Kirsten Fiona",Capricornia,Qld,3.10.1998,, ,current_member,ALP
"Lloyd, Bruce",Murray,Vic.,20.3.1971,by_election,29.1.1996,retired,NPA
"Lloyd, James Eric",Robertson,NSW,2.3.1996,, ,current_member,LIB
"Lucock, Philip Ernest",Lyne,NSW,22.3.1952,by_election,19.9.1980,retired,NCP
"Lusher, Stephen Augustus",Hume,NSW,18.5.1974,,1.12.1984,defeated,NPA
"Lynch, Phillip Reginald (later Sir Phillip)",Flinders,Vic.,26.11.1966,,22.10.1982,resigned,LIB
"McArthur, Fergus Stewart",Corangamite,Vic.,18.2.1984,by_election, ,current_member,LIB
"McClelland, Robert Bruce",Barton,NSW,2.3.1996,, ,current_member,ALP
"McDougall, Graeme Robert",Griffith,Qld,2.3.1996,,3.10.1998,defeated,LIB
"Macfarlane, Ian Elgin",Groom,Qld,3.10.1998,, ,current_member,LIB
"McFarlane, Jann Sonya",Stirling,WA,3.10.1998,,9.10.2004,defeated,ALP
"McGauran, Peter John",Gippsland,Vic.,5.3.1983,, ,current_member,NP
"McHugh, Jeannette",Phillip,NSW,5.3.1983,,Until elected for Grayndler,elected_elsewhere,ALP
