member count,person count,name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
205,,Kerry Walter Sibraa,,NSW,13.12.1975,,30.6.1978,defeated,ALP
204,,Kerry Walter Sibraa,,NSW,9.8.1978,section_15,17.02.1987,changed_party,ALP
269,,Kerry Walter Sibraa,,NSW,17.02.1987,changed_party,05.06.1987,changed_party,PRES
270,,Kerry Walter Sibraa,,NSW,05.06.1987,changed_party,14.09.1987,changed_party,ALP
271,,Kerry Walter Sibraa,,NSW,14.09.1987,changed_party,1.2.1994,resigned,PRES
206,,John Royston Siddons,,Vic.,1.7.1981 ,,4.2.1983 ,defeated,UNITE AP
207,,John Royston Siddons,,Vic.,1.7.1985 ,,5.6.1987 ,defeated,UNITE AP
208,,Rachel Mary Siewert,,WA,1.7.2005 ,,6.9.2021,resigned,GRN
209,,John Peter Sim,,WA,26.11.1964,section_15,30.6.1981 ,retired,LIB
210,,Karin Nicole Sowada,,NSW,29.8.1991 ,section_15,30.6.1993 ,defeated,AD
211,,Sid Spindler,,Vic.,1.7.1990 ,,30.6.1996 ,retired,AD
212,,Ursula Mary Stephens,,NSW,1.7.2002,,30.6.2014,retired,ALP
213,,Glenn Sterle,,WA,1.7.2005 ,,,still_in_office,ALP
214,,John Owen Stone,,Qld,11.7.1987 ,,1.3.1990 ,resigned,NPA
216,,Kathryn Jean Martin Sullivan,,Qld,18.5.1974 ,,5.11.1984 ,resigned,LIB
217,,Karen Margaret Synon,,Vic.,13.5.1997 ,section_15,30.6.1999 ,defeated,LIB
218,,Grant Ernest John Tambling,,NT,11.7.1987 ,,9.11.2001 ,retired,CLP
219,,Michael Carter Tate,,Tas.,1.7.1978 ,,5.7.1993 ,resigned,ALP
220,,Tsebin Tchen,,Vic.,1.7.1999 ,,30.6.2005 ,retired,LIB
221,,Baden Chapman Teague,,SA,1.7.1978 ,,30.6.1996 ,retired,LIB
222,,Andrew Murray Thomas,,WA,13.12.1975 ,,4.2.1983 ,defeated,LIB
223,,John William Tierney,,NSW,11.2.1991 ,section_15,14.4.2005 ,resigned,LIB
224,,Michael Townley,,Tas.,1.7.1971 ,,5.6.1987 ,retired,IND
225,,Judith Mary Troeth,,Vic.,1.7.1993,,30.6.2011,retired,LIB
226,,Russell Brunell Trood,,Qld,1.7.2005,,30.6.2011,defeated,LIB
227,,Josephine Vallentine,,WA,1.7.1985 ,,31.1.1992 ,resigned,GWA
228,,Amanda Eloise Vanstone,,SA,1.12.1984 ,,26.4.2007 ,resigned,LIB
229,,David Bernard Vigor,,SA,1.12.1984 ,,5.6.1987 ,defeated,UNITE AP
230,,Peter Alexander Walsh,,WA,18.5.1974 ,,30.6.1993 ,retired,ALP
231,,Mary Shirley Walters,,Tas.,13.12.1975 ,,30.6.1993 ,retired,LIB
234,,James Joseph Webster,,Vic.,9.12.1964 ,section_15,28.1.1980 ,resigned,NCP
235,,Suzanne Margaret West,,NSW,1.7.1990 ,,30.6.2002 ,retired,ALP
236,,Suzanne Margaret West,,NSW,11.2.1987 ,section_15,5.6.1987 ,defeated,ALP
237,,John Murray Wheeldon,,WA,1.7.1965 ,,30.6.1981 ,retired,ALP
238,,Thomas Clive Wheelwright,,NSW,24.5.1995 ,section_15,30.6.1996 ,defeated,ALP
239,,Reginald Greive Withers,,WA,17.2.1966 ,section_15,25.11.1966 ,term expired,LIB
240,,Reginald Greive Withers,,WA,1.7.1968 ,,5.6.1987 ,retired,LIB
241,,Penelope Ying Yen Wong,,SA,1.7.2002 ,,,still_in_office,ALP
242,,William Robert Wood,,NSW,11.7.1987 ,,12.5.1988,disqualified,NDP
243,,John Woodley,,Qld,1.7.1993 ,,27.7.2001 ,resigned,AD
244,,Robert Leslie Woods,,NSW,8.3.1994 ,section_15,7.3.1997 ,resigned,LIB
245,,Dana Johanna Wortley,,SA,1.7.2005,,30.6.2011,defeated,ALP
246,,Kenneth Shaw Wriedt,,Tas.,1.7.1968 ,,25.9.1980 ,resigned,ALP
247,,Harold William Young,,SA,1.7.1968,,18.08.1981,changed_party,LIB
267,,Harold William Young,,SA,18.08.1981,changed_party,4.2.1983,defeated,PRES
248,,Alice Olive Zakharov,,Vic.,5.3.1983 ,,6.3.1995 ,died,ALP
# Senators that started on 1 July 2008,,,,,,,,,
